통계표,계정항목,단위,변환,2025/06/02,2025/06/04,2025/06/05,2025/06/09,2025/06/10,2025/06/11,2025/06/12,2025/06/13
"3.1.1.1. 주요국 통화의 대원화환율","원/미국달러(매매기준율)","원","원자료","1,375.70","1,376.90","1,373.80","1,359.00","1,358.90","1,359.90","1,368.80","1,362.90"
"3.1.1.1. 주요국 통화의 대원화환율","원/위안(매매기준율)","원","원자료","191.17","190.90","190.98","189.25","188.84","189.18","190.62","189.39"
"3.1.1.1. 주요국 통화의 대원화환율","원/일본엔(100엔)","원","원자료","956.78","956.75","962.18","939.48","939.47","938.35","948.94","950.22"
"3.1.1.1. 주요국 통화의 대원화환율","원/유로","원","원자료","1,562.73","1,566.29","1,569.09","1,550.21","1,552.07","1,554.64","1,575.08","1,579.81"
"3.1.1.1. 주요국 통화의 대원화환율","원/독일마르크","원","원자료","","","","","","","",""
"3.1.1.1. 주요국 통화의 대원화환율","원/프랑스프랑","원","원자료","","","","","","","",""
"3.1.1.1. 주요국 통화의 대원화환율","원/이태리리라(100리라)","원","원자료","","","","","","","",""
"3.1.1.1. 주요국 통화의 대원화환율","원/벨기에프랑","원","원자료","","","","","","","",""
"3.1.1.1. 주요국 통화의 대원화환율","원/오스트리아실링","원","원자료","","","","","","","",""
"3.1.1.1. 주요국 통화의 대원화환율","원/네덜란드길더","원","원자료","","","","","","","",""
"3.1.1.1. 주요국 통화의 대원화환율","원/스페인페세타(100페세타)","원","원자료","","","","","","","",""
"3.1.1.1. 주요국 통화의 대원화환율","원/핀란드마르카","원","원자료","","","","","","","",""
"3.1.1.1. 주요국 통화의 대원화환율","원/영국파운드","원","원자료","1,852.79","1,861.98","1,861.77","1,839.41","1,841.51","1,836.20","1,856.85","1,855.79"
"3.1.1.1. 주요국 통화의 대원화환율","원/캐나다달러","원","원자료","1,002.33","1,003.64","1,004.61","992.26","991.72","994.88","1,001.61","1,002.02"
"3.1.1.1. 주요국 통화의 대원화환율","원/스위스프랑","원","원자료","1,673.80","1,671.91","1,678.74","1,654.79","1,653.87","1,653.47","1,671.92","1,682.28"
"3.1.1.1. 주요국 통화의 대원화환율","원/호주달러","원","원자료","887.05","889.96","892.08","883.08","885.32","887.33","890.47","890.18"
"3.1.1.1. 주요국 통화의 대원화환율","원/뉴질랜드달러","원","원자료","822.26","826.69","828.33","818.66","821.93","823.35","825.87","826.67"
"3.1.1.1. 주요국 통화의 대원화환율","원/중국위안","원","원자료","","","","","","","",""
"3.1.1.1. 주요국 통화의 대원화환율","원/홍콩위안","원","원자료","","","","","","","",""
"3.1.1.1. 주요국 통화의 대원화환율","원/홍콩달러","원","원자료","175.44","175.51","175.14","173.19","173.16","173.28","174.40","173.64"
"3.1.1.1. 주요국 통화의 대원화환율","원/대만달러","원","원자료","46.03","45.92","45.86","45.40","45.40","45.47","45.90","46.13"
"3.1.1.1. 주요국 통화의 대원화환율","원/몽골투그릭","원","원자료","0.38","0.38","0.38","0.38","0.38","0.38","0.38","0.38"
"3.1.1.1. 주요국 통화의 대원화환율","원/카자흐스탄텡게","원","원자료","2.69","2.69","2.69","2.66","2.67","2.67","2.68","2.66"
"3.1.1.1. 주요국 통화의 대원화환율","원/태국바트","원","원자료","41.96","42.17","42.13","41.53","41.59","41.67","42.03","42.06"
"3.1.1.1. 주요국 통화의 대원화환율","원/싱가포르달러","원","원자료","1,067.30","1,067.74","1,068.40","1,053.82","1,056.61","1,057.18","1,066.00","1,065.81"
"3.1.1.1. 주요국 통화의 대원화환율","원/인도네시아루피아(100루피아)","원","원자료","8.45","8.46","8.43","8.35","8.35","8.36","8.42","8.39"
"3.1.1.1. 주요국 통화의 대원화환율","원/말레이지아링깃","원","원자료","323.20","324.36","323.48","321.47","321.21","321.07","323.02","322.89"
"3.1.1.1. 주요국 통화의 대원화환율","원/필리핀페소","원","원자료","24.64","24.72","24.65","24.37","24.36","24.38","24.53","24.45"
"3.1.1.1. 주요국 통화의 대원화환율","원/베트남동(100동)","원","원자료","5.29","5.28","5.27","5.22","5.22","5.23","5.26","5.23"
"3.1.1.1. 주요국 통화의 대원화환율","원/브루나이달러","원","원자료","1,067.30","1,067.74","1,068.40","1,053.82","1,056.61","1,057.18","1,066.00","1,065.81"
"3.1.1.1. 주요국 통화의 대원화환율","원/인도루피","원","원자료","16.09","16.06","16.00","15.84","15.86","15.89","16.01","15.93"
"3.1.1.1. 주요국 통화의 대원화환율","원/파키스탄루피","원","원자료","4.88","4.86","4.87","4.82","4.82","4.82","4.85","4.83"
"3.1.1.1. 주요국 통화의 대원화환율","원/방글라데시타카","원","원자료","11.26","11.27","11.24","11.12","11.12","11.13","11.20","11.15"
"3.1.1.1. 주요국 통화의 대원화환율","원/멕시코 페소","원","원자료","70.82","71.56","71.55","71.15","71.33","71.34","72.41","72.14"
"3.1.1.1. 주요국 통화의 대원화환율","원/브라질 헤알","원","원자료","240.36","244.18","243.91","244.30","244.45","243.95","247.21","246.12"
"3.1.1.1. 주요국 통화의 대원화환율","원/아르헨티나페소","원","원자료","1.16","1.16","1.16","1.15","1.15","1.14","1.16","1.15"
"3.1.1.1. 주요국 통화의 대원화환율","원/스웨덴크로나","원","원자료","143.63","143.09","143.34","141.38","141.71","141.70","143.38","144.38"
"3.1.1.1. 주요국 통화의 대원화환율","원/덴마크크로나","원","원자료","209.50","210.00","210.33","207.81","208.04","208.41","211.15","211.79"
"3.1.1.1. 주요국 통화의 대원화환율","원/노르웨이크로나","원","원자료","134.82","135.76","135.96","134.56","135.03","134.59","136.23","137.25"
"3.1.1.1. 주요국 통화의 대원화환율","원/러시아루블","원","원자료","17.75","17.43","17.34","17.24","17.20","17.33","17.22","17.04"
"3.1.1.1. 주요국 통화의 대원화환율","원/헝가리포린트","원","원자료","3.87","3.88","3.89","3.84","3.86","3.88","3.94","3.94"
"3.1.1.1. 주요국 통화의 대원화환율","원/폴란트즈워티","원","원자료","366.23","366.57","366.56","361.72","363.55","365.09","370.33","370.23"
"3.1.1.1. 주요국 통화의 대원화환율","원/체코코루나","원","원자료","62.69","62.94","63.21","62.54","62.59","62.74","63.56","63.75"
"3.1.1.1. 주요국 통화의 대원화환율","원/사우디아라비아리얄","원","원자료","366.77","367.10","366.26","362.35","362.33","362.59","364.95","363.29"
"3.1.1.1. 주요국 통화의 대원화환율","원/카타르리얄","원","원자료","377.49","377.76","377.02","372.94","372.93","373.14","375.61","373.92"
"3.1.1.1. 주요국 통화의 대원화환율","원/이스라엘셰켈","원","원자료","391.55","391.39","393.88","388.14","389.39","389.18","387.03","383.89"
"3.1.1.1. 주요국 통화의 대원화환율","원/요르단디나르","원","원자료","1,940.34","1,942.03","1,937.66","1,916.78","1,916.64","1,918.05","1,930.61","1,922.28"
"3.1.1.1. 주요국 통화의 대원화환율","원/쿠웨이트디나르","원","원자료","4,483.30","4,488.67","4,484.71","4,428.15","4,433.75","4,439.62","4,474.66","4,456.40"
"3.1.1.1. 주요국 통화의 대원화환율","원/바레인디나르","원","원자료","3,649.07","3,652.45","3,644.03","3,604.77","3,604.41","3,606.68","3,630.38","3,614.16"
"3.1.1.1. 주요국 통화의 대원화환율","원/아랍에미리트디르함","원","원자료","374.58","374.91","374.07","370.00","370.03","370.28","372.71","371.10"
"3.1.1.1. 주요국 통화의 대원화환율","원/튀르키예리라","원","원자료","35.04","35.17","34.97","34.63","34.56","34.69","34.94","34.59"
"3.1.1.1. 주요국 통화의 대원화환율","원/남아프리카공화국랜드","원","원자료","76.53","77.01","77.05","76.44","76.65","76.81","77.28","76.67"
"3.1.1.1. 주요국 통화의 대원화환율","원/이집트파운드","원","원자료","27.68","27.72","27.66","27.38","27.38","27.46","27.65","27.38"
